id,name,bodyPart,target,equipment,secondaryMuscles,category,difficulty,instruction_count,gifUrl,source
0011,assisted hanging knee raise,waist,abs,assisted,hip flexors,waist,,5,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0011-03lzqwk.gif,github
0010,assisted hanging knee raise with throw down,waist,abs,assisted,hip flexors; lower back,waist,,4,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0010-8K0w2yA.gif,github
0012,assisted lying leg raise with lateral throw down,waist,abs,assisted,hip flexors; obliques,waist,,7,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0012-UGhRD1A.gif,github
0013,assisted lying leg raise with throw down,waist,abs,assisted,hip flexors; quadriceps,waist,,8,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0013-VX5YKR5.gif,github
0016,assisted prone hamstring,upper legs,hamstrings,assisted,glutes; lower back,upper legs,,5,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0016-VedGSby.gif,github
1758,assisted sit-up,waist,abs,assisted,hip flexors,waist,,6,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/1758-aumB2IV.gif,github
0018,assisted standing triceps extension (with towel),upper arms,triceps,assisted,shoulders,upper arms,,5,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0018-7HcfMBP.gif,github
1512,all fours squad stretch,upper legs,quads,body weight,hamstrings; glutes,upper legs,,5,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/1512-qBcKorM.gif,github
1368,ankle circles,lower legs,calves,body weight,ankle stabilizers,lower legs,,4,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/1368-uL9CsKm.gif,github
1708,assisted lying calves stretch,lower legs,calves,assisted,hamstrings,lower legs,,5,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/1708-GxDwDX0.gif,github
1709,assisted lying glutes stretch,upper legs,glutes,assisted,hamstrings,upper legs,,5,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/1709-yn0LjwL.gif,github
1710,assisted lying gluteus and piriformis stretch,upper legs,glutes,assisted,hamstrings,upper legs,,5,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/1710-RQNVT10.gif,github
1713,assisted prone lying quads stretch,upper legs,quads,assisted,hamstrings; glutes,upper legs,,5,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/1713-YUYAMEj.gif,github
1714,assisted prone rectus femoris stretch,waist,abs,assisted,quadriceps,waist,,5,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/1714-2Ryn564.gif,github
1716,assisted seated pectoralis major stretch with stability ball,chest,pectorals,assisted,shoulders; triceps,chest,,5,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/1716-RoV1Rfa.gif,github
1712,assisted side lying adductor stretch,upper legs,adductors,assisted,hamstrings; glutes,upper legs,,6,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/1712-hC6oYY5.gif,github
1405,back pec stretch,back,lats,body weight,shoulders; chest,back,,7,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/1405-chfnQnM.gif,github
0984,band lying hip internal rotation,upper legs,glutes,band,hamstrings; quadriceps,upper legs,,5,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0984-vIICElP.gif,github
0996,band seated hip internal rotation,upper legs,glutes,band,hamstrings; quadriceps,upper legs,,6,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0996-9gbyYKk.gif,github
1259,behind head chest stretch,chest,pectorals,assisted,shoulders; triceps,chest,,5,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/1259-QoHIhPl.gif,github
1319,cable palm rotational row,back,upper back,cable,biceps; forearms,back,,8,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/1319-OmQ8w0p.gif,github
0216,cable seated shoulder internal rotation,shoulders,delts,cable,rotator cuff; triceps,shoulders,,6,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0216-YPoVrBi.gif,github
0235,cable standing shoulder external rotation,shoulders,delts,cable,rotator cuff; trapezius,shoulders,,6,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0235-FWdVhcW.gif,github
1407,calf push stretch with hands against wall,lower legs,calves,body weight,hamstrings,lower legs,,6,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/1407-PzNxakt.gif,github
1377,calf stretch with hands against wall,lower legs,calves,body weight,hamstrings,lower legs,,6,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/1377-m0tCHqc.gif,github
1378,calf stretch with rope,lower legs,calves,rope,hamstrings,lower legs,,6,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/1378-1LVFcEn.gif,github
1548,chair leg extended stretch,upper legs,quads,body weight,hamstrings; calves,upper legs,,5,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/1548-xGgAGPm.gif,github
1271,chest and front of shoulder stretch,chest,pectorals,body weight,deltoids,chest,,7,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/1271-Uto7l43.gif,github
1272,chest stretch with exercise ball,chest,pectorals,stability ball,shoulders; triceps,chest,,5,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/1272-ykA5tU7.gif,github
0257,circles knee stretch,lower legs,calves,body weight,hamstrings; quadriceps,lower legs,,4,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0257-X7jbxra.gif,github
