"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_lbs","reps","distance_miles","duration_seconds","rpe"
"Shoulder / back","6 Jun 2026, 18:08","6 Jun 2026, 18:32","","Pike Pushup",,"",0,"normal",,12,,,
"Shoulder / back","6 Jun 2026, 18:08","6 Jun 2026, 18:32","","Pike Pushup",,"",1,"normal",,12,,,
"Shoulder / back","6 Jun 2026, 18:08","6 Jun 2026, 18:32","","Pike Pushup",,"",2,"normal",,10,,,
"Shoulder / back","6 Jun 2026, 18:08","6 Jun 2026, 18:32","","nova shoulder back",,"",0,"normal",20,15,,,
"Shoulder / back","6 Jun 2026, 18:08","6 Jun 2026, 18:32","","nova shoulder back",,"",1,"normal",20,15,,,
"Shoulder / back","6 Jun 2026, 18:08","6 Jun 2026, 18:32","","nova shoulder back",,"",2,"normal",20,14,,,
"Shoulder / back","6 Jun 2026, 18:08","6 Jun 2026, 18:32","","nova shoulder back",,"",3,"normal",20,13,,,
"Shoulder / back","6 Jun 2026, 18:08","6 Jun 2026, 18:32","","nova shoulder back",,"",0,"normal",20,13,,,
"Shoulder / back","6 Jun 2026, 18:08","6 Jun 2026, 18:32","","nova shoulder back",,"",1,"normal",20,14,,,
"Shoulder / back","6 Jun 2026, 18:08","6 Jun 2026, 18:32","","nova shoulder back",,"",2,"normal",20,16,,,
"Shoulder / back","6 Jun 2026, 18:08","6 Jun 2026, 18:32","","nova shoulder back",,"",3,"normal",20,17,,,
"Chest Arm","5 Jun 2026, 12:05","5 Jun 2026, 12:30","","Incline Bench Press (Smith Machine)",,"",0,"normal",50,10,,,
"Chest Arm","5 Jun 2026, 12:05","5 Jun 2026, 12:30","","Incline Bench Press (Smith Machine)",,"",1,"normal",50,9,,,
"Chest Arm","5 Jun 2026, 12:05","5 Jun 2026, 12:30","","Incline Bench Press (Smith Machine)",,"",2,"normal",50,7,,,
"Chest Arm","5 Jun 2026, 12:05","5 Jun 2026, 12:30","","Incline Bench Press (Smith Machine)",,"",3,"normal",50,7,,,
"Chest Arm","5 Jun 2026, 12:05","5 Jun 2026, 12:30","","Lat Pulldown (Machine)",,"",0,"normal",110,8,,,
"Chest Arm","5 Jun 2026, 12:05","5 Jun 2026, 12:30","","Seated Cable Row - V Grip (Cable)",,"",0,"normal",80,15,,,
"Chest Arm","5 Jun 2026, 12:05","5 Jun 2026, 12:30","","Seated Cable Row - V Grip (Cable)",,"",1,"normal",80,15,,,
"Chest Arm","5 Jun 2026, 12:05","5 Jun 2026, 12:30","","Seated Cable Row - V Grip (Cable)",,"",2,"normal",80,12,,,
"Chest Arm","5 Jun 2026, 12:05","5 Jun 2026, 12:30","","Cable Fly Crossovers",,"",0,"normal",24,13,,,
"Chest Arm","5 Jun 2026, 12:05","5 Jun 2026, 12:30","","Cable Fly Crossovers",,"",1,"normal",24,13,,,
"Chest Arm","5 Jun 2026, 12:05","5 Jun 2026, 12:30","","Cable Fly Crossovers",,"",2,"normal",24,14,,,
"Shoulder / back","5 Jun 2026, 00:32","5 Jun 2026, 00:54","","Pike Pushup",,"",0,"normal",,15,,,
"Shoulder / back","5 Jun 2026, 00:32","5 Jun 2026, 00:54","","Pike Pushup",,"",1,"normal",,15,,,
"Shoulder / back","5 Jun 2026, 00:32","5 Jun 2026, 00:54","","Pike Pushup",,"",2,"normal",,13,,,
"Shoulder / back","5 Jun 2026, 00:32","5 Jun 2026, 00:54","","nova shoulder back",,"",0,"normal",30,12,,,
"Shoulder / back","5 Jun 2026, 00:32","5 Jun 2026, 00:54","","nova shoulder back",,"",1,"normal",30,13,,,
"Shoulder / back","5 Jun 2026, 00:32","5 Jun 2026, 00:54","","nova shoulder back",,"",2,"normal",30,12,,,
"Shoulder / back","5 Jun 2026, 00:32","5 Jun 2026, 00:54","","Lateral Raise (Band)",,"",0,"normal",20,10,,,
"Shoulder / back","5 Jun 2026, 00:32","5 Jun 2026, 00:54","","Lateral Raise (Band)",,"",1,"normal",20,12,,,
"Shoulder / back","5 Jun 2026, 00:32","5 Jun 2026, 00:54","","Lateral Raise (Band)",,"",2,"normal",20,10,,,
"Shoulder / back","5 Jun 2026, 00:32","5 Jun 2026, 00:54","","Bench Dip",,"",0,"normal",,16,,,
"Shoulder / back","5 Jun 2026, 00:32","5 Jun 2026, 00:54","","Bench Dip",,"",1,"normal",,15,,,
"Shoulder / back","5 Jun 2026, 00:32","5 Jun 2026, 00:54","","Bench Dip",,"",2,"normal",,15,,,
"Shouldet gym","2 Jun 2026, 17:48","2 Jun 2026, 18:16","","Seated Shoulder Press (Machine)",,"",0,"normal",55,11,,,
"Shouldet gym","2 Jun 2026, 17:48","2 Jun 2026, 18:16","","Seated Shoulder Press (Machine)",,"",1,"normal",55,11,,,
"Shouldet gym","2 Jun 2026, 17:48","2 Jun 2026, 18:16","","Seated Shoulder Press (Machine)",,"",2,"normal",55,10,,,
"Shouldet gym","2 Jun 2026, 17:48","2 Jun 2026, 18:16","","Rear Delt Reverse Fly (Machine)",,"",0,"normal",30,16,,,
"Shouldet gym","2 Jun 2026, 17:48","2 Jun 2026, 18:16","","Rear Delt Reverse Fly (Machine)",,"",1,"normal",30,16,,,
"Shouldet gym","2 Jun 2026, 17:48","2 Jun 2026, 18:16","","Rear Delt Reverse Fly (Machine)",,"",2,"normal",30,14,,,
"Shouldet gym","2 Jun 2026, 17:48","2 Jun 2026, 18:16","","Lateral Raise (Dumbbell)",,"",0,"normal",16,16,,,
"Shouldet gym","2 Jun 2026, 17:48","2 Jun 2026, 18:16","","Lateral Raise (Dumbbell)",,"",1,"normal",16,16,,,
"Shouldet gym","2 Jun 2026, 17:48","2 Jun 2026, 18:16","","Lateral Raise (Dumbbell)",,"",2,"normal",16,13,,,
"Shouldet gym","2 Jun 2026, 17:48","2 Jun 2026, 18:16","","Lateral Raise (Dumbbell)",,"",3,"normal",16,11,,,
"Shouldet gym","2 Jun 2026, 17:48","2 Jun 2026, 18:16","","Bicep Curl (Dumbbell)",,"",0,"normal",30,12,,,
"Shouldet gym","2 Jun 2026, 17:48","2 Jun 2026, 18:16","","Bicep Curl (Dumbbell)",,"",1,"normal",30,12,,,
"Shouldet gym","2 Jun 2026, 17:48","2 Jun 2026, 18:16","","Bicep Curl (Dumbbell)",,"",2,"normal",30,10,,,
"Chest Arm","1 Jun 2026, 17:40","1 Jun 2026, 18:11","","Incline Bench Press (Smith Machine)",,"",0,"normal",50,9,,,
"Chest Arm","1 Jun 2026, 17:40","1 Jun 2026, 18:11","","Incline Bench Press (Smith Machine)",,"",1,"normal",50,9,,,
"Chest Arm","1 Jun 2026, 17:40","1 Jun 2026, 18:11","","Incline Bench Press (Smith Machine)",,"",2,"normal",50,8,,,
"Chest Arm","1 Jun 2026, 17:40","1 Jun 2026, 18:11","","Incline Bench Press (Smith Machine)",,"",3,"normal",40,6,,,
"Chest Arm","1 Jun 2026, 17:40","1 Jun 2026, 18:11","","Chest Dip",,"",0,"normal",,12,,,
"Chest Arm","1 Jun 2026, 17:40","1 Jun 2026, 18:11","","Chest Dip",,"",1,"normal",,11,,,
"Chest Arm","1 Jun 2026, 17:40","1 Jun 2026, 18:11","","Chest Dip",,"",2,"normal",,11,,,
"Chest Arm","1 Jun 2026, 17:40","1 Jun 2026, 18:11","","Lat Pulldown (Machine)",,"",0,"normal",110,11,,,
"Chest Arm","1 Jun 2026, 17:40","1 Jun 2026, 18:11","","Lat Pulldown (Machine)",,"",1,"normal",110,11,,,
"Chest Arm","1 Jun 2026, 17:40","1 Jun 2026, 18:11","","Lat Pulldown (Machine)",,"",2,"normal",110,8,,,
